Gene	Chr	Start	Stop
SDC2	chr8	97505881	97624037
TGFB1	chr19	41836811	41859831
TGFB2	chr1	218518675	218617961
TGFB3	chr14	76424441	76448092
THBS1	chr15	39873279	39889668
THBS2	chr6	169615874	169654137
THBS3	chr1	155165378	155177772
THBS4	chr5	79331169	79379107
THOP1	chr19	2785505	2813599
TICAM1	chr19	4815935	4831754
TJP1	chr15	29992356	30114706
TJP2	chr9	71788970	71870124
TLR2	chr4	154605440	154627242
TLR3	chr4	186990308	187006252
TLR4	chr9	120466452	120479769
TLR9	chr3	52255095	52260179
TNF	chr6	31543343	31546112
TNFRSF1A	chr12	6437922	6451283
TP53	chr17	7571719	7590868
TRADD	chr16	67188088	67193812
TRAF2	chr9	139780964	139821067
TRAF3	chr14	103243815	103377837
TRAF6	chr11	36505316	36531863
TYK2	chr19	10461203	10491248
VCAM1	chr1	101185195	101204601
VCL	chr10	75757871	75879914
WAS	chrX	48542185	48549817
WASF1	chr6	110421021	110501207
WASF2	chr1	27730733	27816678
WASL	chr7	123321996	123389116
